stage,action,reason,product_id,name,price,reviews_count,detail
2_dedup,merged,duplicate_sku,102175971,"Влажные салфетки Flovell Care 120 шт, розовые",438,21131,2 строк → 1; min_price=438; best_merchant='12650053'
2_dedup,merged,duplicate_sku,102175971,"Влажные салфетки Flovell Care 120 шт, розовые",438,21131,2 строк → 1; min_price=438; best_merchant='12650053'
2_dedup,merged,duplicate_sku,107070922,"Тряпка универсальная Santex Allzwecktuch 3 шт, вискоза",475,494,2 строк → 1; min_price=475; best_merchant='Magnum'
2_dedup,merged,duplicate_sku,107070922,"Тряпка универсальная Santex Allzwecktuch 3 шт, вискоза",475,494,2 строк → 1; min_price=475; best_merchant='Magnum'
2_dedup,merged,duplicate_sku,104962569,"Карина туалетная бумага 2-слойный 12 шт, первичная целлюлоза",1774,1036,2 строк → 1; min_price=1774; best_merchant='30471067'
2_dedup,merged,duplicate_sku,104962569,"Карина туалетная бумага 2-слойный 12 шт, первичная целлюлоза",1774,1036,2 строк → 1; min_price=1774; best_merchant='30471067'
6_outliers,flagged,abnormal_delta_reviews,102175971,"Влажные салфетки Flovell Care 120 шт, розовые",438,21131,Δreviews=36 > threshold=5 (Q3+3.0·IQR)
6_outliers,flagged,abnormal_delta_reviews,116477699,"Набор контейнеров 799694303, 12 шт пластик",3398,2103,Δreviews=6 > threshold=5 (Q3+3.0·IQR)
6_outliers,flagged,abnormal_delta_reviews,104962569,"Карина туалетная бумага 2-слойный 12 шт, первичная целлюлоза",1774,1036,Δreviews=6 > threshold=5 (Q3+3.0·IQR)
6_outliers,flagged,abnormal_delta_reviews,136705903,"Mercado полка MR-2000 2 шт, металл, нержавеющая сталь",2888,1858,Δreviews=6 > threshold=5 (Q3+3.0·IQR)
6_outliers,flagged,abnormal_delta_reviews,114269290,"Отбеливатель TAZA Кислородный эко порошок, 1000 мл",2442,8868,Δreviews=38 > threshold=5 (Q3+3.0·IQR)
6_outliers,flagged,abnormal_delta_reviews,120970085,"Химия для бассейна Мультитаб таблетки 1 кг,",1900,669,Δreviews=13 > threshold=5 (Q3+3.0·IQR)
6_outliers,flagged,abnormal_delta_reviews,114508456,Гель для стирки 4You Свежесть сирени 5 л,2999,5621,Δreviews=6 > threshold=5 (Q3+3.0·IQR)
6_outliers,flagged,abnormal_delta_reviews,114447600,"Отбеливатель-пятновыводитель TAZA кислородный порошок,",1413,1160,Δreviews=14 > threshold=5 (Q3+3.0·IQR)
